,center_name,total_candidates,high_scorers,state_y,city_y,high_scorers_500,high_scorers_700,Success rate
5125,DAV PUBLIC SCHOOL,25779,538,BIHAR,MOTIHARI,18,1,2.086970014352768
5126,DAV PUBLIC SCHOOL,25779,538,BIHAR,MOTIHARI,18,3,2.086970014352768
5127,DAV PUBLIC SCHOOL,25779,538,BIHAR,MOTIHARI,18,1,2.086970014352768
5128,DAV PUBLIC SCHOOL,25779,538,BIHAR,MOTIHARI,18,1,2.086970014352768
5129,DAV PUBLIC SCHOOL,25779,538,BIHAR,MOTIHARI,18,2,2.086970014352768
5130,DAV PUBLIC SCHOOL,25779,538,BIHAR,MOTIHARI,18,2,2.086970014352768
5131,DAV PUBLIC SCHOOL,25779,538,BIHAR,MOTIHARI,18,1,2.086970014352768
5132,DAV PUBLIC SCHOOL,25779,538,BIHAR,MOTIHARI,18,3,2.086970014352768
5133,DAV PUBLIC SCHOOL,25779,538,BIHAR,MOTIHARI,18,2,2.086970014352768
5134,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUNGER,61,1,2.086970014352768
5135,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUNGER,61,3,2.086970014352768
5136,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUNGER,61,1,2.086970014352768
5137,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUNGER,61,1,2.086970014352768
5138,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUNGER,61,2,2.086970014352768
5139,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUNGER,61,2,2.086970014352768
5140,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUNGER,61,1,2.086970014352768
5141,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUNGER,61,3,2.086970014352768
5142,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUNGER,61,2,2.086970014352768
5143,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUZAFFARPUR,128,1,2.086970014352768
5144,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUZAFFARPUR,128,3,2.086970014352768
5145,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUZAFFARPUR,128,1,2.086970014352768
5146,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUZAFFARPUR,128,1,2.086970014352768
5147,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUZAFFARPUR,128,2,2.086970014352768
5148,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUZAFFARPUR,128,2,2.086970014352768
5149,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUZAFFARPUR,128,1,2.086970014352768
5150,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUZAFFARPUR,128,3,2.086970014352768
5151,DAV PUBLIC SCHOOL,25779,538,BIHAR,MUZAFFARPUR,128,2,2.086970014352768
5152,DAV PUBLIC SCHOOL,25779,538,BIHAR,PATNA,112,1,2.086970014352768
5153,DAV PUBLIC SCHOOL,25779,538,BIHAR,PATNA,112,3,2.086970014352768
5154,DAV PUBLIC SCHOOL,25779,538,BIHAR,PATNA,112,1,2.086970014352768
5155,DAV PUBLIC SCHOOL,25779,538,BIHAR,PATNA,112,1,2.086970014352768
5156,DAV PUBLIC SCHOOL,25779,538,BIHAR,PATNA,112,2,2.086970014352768
5157,DAV PUBLIC SCHOOL,25779,538,BIHAR,PATNA,112,2,2.086970014352768
5158,DAV PUBLIC SCHOOL,25779,538,BIHAR,PATNA,112,1,2.086970014352768
5159,DAV PUBLIC SCHOOL,25779,538,BIHAR,PATNA,112,3,2.086970014352768
5160,DAV PUBLIC SCHOOL,25779,538,BIHAR,PATNA,112,2,2.086970014352768
5161,DAV PUBLIC SCHOOL,25779,538,BIHAR,SAMASTIPUR,22,1,2.086970014352768
5162,DAV PUBLIC SCHOOL,25779,538,BIHAR,SAMASTIPUR,22,3,2.086970014352768
5163,DAV PUBLIC SCHOOL,25779,538,BIHAR,SAMASTIPUR,22,1,2.086970014352768
5164,DAV PUBLIC SCHOOL,25779,538,BIHAR,SAMASTIPUR,22,1,2.086970014352768
5165,DAV PUBLIC SCHOOL,25779,538,BIHAR,SAMASTIPUR,22,2,2.086970014352768
5166,DAV PUBLIC SCHOOL,25779,538,BIHAR,SAMASTIPUR,22,2,2.086970014352768
5167,DAV PUBLIC SCHOOL,25779,538,BIHAR,SAMASTIPUR,22,1,2.086970014352768
5168,DAV PUBLIC SCHOOL,25779,538,BIHAR,SAMASTIPUR,22,3,2.086970014352768
5169,DAV PUBLIC SCHOOL,25779,538,BIHAR,SAMASTIPUR,22,2,2.086970014352768
5170,DAV PUBLIC SCHOOL,25779,538,BIHAR,SASARAM,40,1,2.086970014352768
5171,DAV PUBLIC SCHOOL,25779,538,BIHAR,SASARAM,40,3,2.086970014352768
5172,DAV PUBLIC SCHOOL,25779,538,BIHAR,SASARAM,40,1,2.086970014352768
5173,DAV PUBLIC SCHOOL,25779,538,BIHAR,SASARAM,40,1,2.086970014352768
5174,DAV PUBLIC SCHOOL,25779,538,BIHAR,SASARAM,40,2,2.086970014352768
5175,DAV PUBLIC SCHOOL,25779,538,BIHAR,SASARAM,40,2,2.086970014352768
5176,DAV PUBLIC SCHOOL,25779,538,BIHAR,SASARAM,40,1,2.086970014352768
5177,DAV PUBLIC SCHOOL,25779,538,BIHAR,SASARAM,40,3,2.086970014352768
5178,DAV PUBLIC SCHOOL,25779,538,BIHAR,SASARAM,40,2,2.086970014352768
5179,DAV PUBLIC SCHOOL,25779,538,CHHATTISGARH,BHILAI NAGAR/DURG,21,1,2.086970014352768
5180,DAV PUBLIC SCHOOL,25779,538,CHHATTISGARH,BHILAI NAGAR/DURG,21,3,2.086970014352768
5181,DAV PUBLIC SCHOOL,25779,538,CHHATTISGARH,BHILAI NAGAR/DURG,21,1,2.086970014352768
5182,DAV PUBLIC SCHOOL,25779,538,CHHATTISGARH,BHILAI NAGAR/DURG,21,1,2.086970014352768
5183,DAV PUBLIC SCHOOL,25779,538,CHHATTISGARH,BHILAI NAGAR/DURG,21,2,2.086970014352768
5184,DAV PUBLIC SCHOOL,25779,538,CHHATTISGARH,BHILAI NAGAR/DURG,21,2,2.086970014352768
5185,DAV PUBLIC SCHOOL,25779,538,CHHATTISGARH,BHILAI NAGAR/DURG,21,1,2.086970014352768
5186,DAV PUBLIC SCHOOL,25779,538,CHHATTISGARH,BHILAI NAGAR/DURG,21,3,2.086970014352768
5187,DAV PUBLIC SCHOOL,25779,538,CHHATTISGARH,BHILAI NAGAR/DURG,21,2,2.086970014352768
5188,DAV PUBLIC SCHOOL,25779,538,DELHI,DELHI/NEW DELHI,118,1,2.086970014352768
5189,DAV PUBLIC SCHOOL,25779,538,DELHI,DELHI/NEW DELHI,118,3,2.086970014352768
5190,DAV PUBLIC SCHOOL,25779,538,DELHI,DELHI/NEW DELHI,118,1,2.086970014352768
5191,DAV PUBLIC SCHOOL,25779,538,DELHI,DELHI/NEW DELHI,118,1,2.086970014352768
5192,DAV PUBLIC SCHOOL,25779,538,DELHI,DELHI/NEW DELHI,118,2,2.086970014352768
5193,DAV PUBLIC SCHOOL,25779,538,DELHI,DELHI/NEW DELHI,118,2,2.086970014352768
5194,DAV PUBLIC SCHOOL,25779,538,DELHI,DELHI/NEW DELHI,118,1,2.086970014352768
5195,DAV PUBLIC SCHOOL,25779,538,DELHI,DELHI/NEW DELHI,118,3,2.086970014352768
5196,DAV PUBLIC SCHOOL,25779,538,DELHI,DELHI/NEW DELHI,118,2,2.086970014352768
5197,DAV PUBLIC SCHOOL,25779,538,HARYANA,YAMUNA NAGAR,14,1,2.086970014352768
5198,DAV PUBLIC SCHOOL,25779,538,HARYANA,YAMUNA NAGAR,14,3,2.086970014352768
5199,DAV PUBLIC SCHOOL,25779,538,HARYANA,YAMUNA NAGAR,14,1,2.086970014352768
5200,DAV PUBLIC SCHOOL,25779,538,HARYANA,YAMUNA NAGAR,14,1,2.086970014352768
5201,DAV PUBLIC SCHOOL,25779,538,HARYANA,YAMUNA NAGAR,14,2,2.086970014352768
5202,DAV PUBLIC SCHOOL,25779,538,HARYANA,YAMUNA NAGAR,14,2,2.086970014352768
5203,DAV PUBLIC SCHOOL,25779,538,HARYANA,YAMUNA NAGAR,14,1,2.086970014352768
5204,DAV PUBLIC SCHOOL,25779,538,HARYANA,YAMUNA NAGAR,14,3,2.086970014352768
5205,DAV PUBLIC SCHOOL,25779,538,HARYANA,YAMUNA NAGAR,14,2,2.086970014352768
5206,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,BILASPUR (HP),109,1,2.086970014352768
5207,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,BILASPUR (HP),109,3,2.086970014352768
5208,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,BILASPUR (HP),109,1,2.086970014352768
5209,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,BILASPUR (HP),109,1,2.086970014352768
5210,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,BILASPUR (HP),109,2,2.086970014352768
5211,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,BILASPUR (HP),109,2,2.086970014352768
5212,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,BILASPUR (HP),109,1,2.086970014352768
5213,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,BILASPUR (HP),109,3,2.086970014352768
5214,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,BILASPUR (HP),109,2,2.086970014352768
5215,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,CHAMBA,17,1,2.086970014352768
5216,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,CHAMBA,17,3,2.086970014352768
5217,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,CHAMBA,17,1,2.086970014352768
5218,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,CHAMBA,17,1,2.086970014352768
5219,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,CHAMBA,17,2,2.086970014352768
5220,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,CHAMBA,17,2,2.086970014352768
5221,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,CHAMBA,17,1,2.086970014352768
5222,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,CHAMBA,17,3,2.086970014352768
5223,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,CHAMBA,17,2,2.086970014352768
5224,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,HAMIRPUR (HP),39,1,2.086970014352768
5225,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,HAMIRPUR (HP),39,3,2.086970014352768
5226,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,HAMIRPUR (HP),39,1,2.086970014352768
5227,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,HAMIRPUR (HP),39,1,2.086970014352768
5228,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,HAMIRPUR (HP),39,2,2.086970014352768
5229,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,HAMIRPUR (HP),39,2,2.086970014352768
5230,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,HAMIRPUR (HP),39,1,2.086970014352768
5231,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,HAMIRPUR (HP),39,3,2.086970014352768
5232,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,HAMIRPUR (HP),39,2,2.086970014352768
5233,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,MANDI,19,1,2.086970014352768
5234,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,MANDI,19,3,2.086970014352768
5235,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,MANDI,19,1,2.086970014352768
5236,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,MANDI,19,1,2.086970014352768
5237,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,MANDI,19,2,2.086970014352768
5238,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,MANDI,19,2,2.086970014352768
5239,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,MANDI,19,1,2.086970014352768
5240,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,MANDI,19,3,2.086970014352768
5241,DAV PUBLIC SCHOOL,25779,538,HIMACHAL PRADESH,MANDI,19,2,2.086970014352768
5242,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,GODDA,30,1,2.086970014352768
5243,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,GODDA,30,3,2.086970014352768
5244,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,GODDA,30,1,2.086970014352768
5245,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,GODDA,30,1,2.086970014352768
5246,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,GODDA,30,2,2.086970014352768
5247,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,GODDA,30,2,2.086970014352768
5248,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,GODDA,30,1,2.086970014352768
5249,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,GODDA,30,3,2.086970014352768
5250,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,GODDA,30,2,2.086970014352768
5251,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,HAZARIBAGH,72,1,2.086970014352768
5252,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,HAZARIBAGH,72,3,2.086970014352768
5253,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,HAZARIBAGH,72,1,2.086970014352768
5254,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,HAZARIBAGH,72,1,2.086970014352768
5255,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,HAZARIBAGH,72,2,2.086970014352768
5256,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,HAZARIBAGH,72,2,2.086970014352768
5257,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,HAZARIBAGH,72,1,2.086970014352768
5258,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,HAZARIBAGH,72,3,2.086970014352768
5259,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,HAZARIBAGH,72,2,2.086970014352768
5260,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,PAKUR,18,1,2.086970014352768
5261,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,PAKUR,18,3,2.086970014352768
5262,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,PAKUR,18,1,2.086970014352768
5263,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,PAKUR,18,1,2.086970014352768
5264,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,PAKUR,18,2,2.086970014352768
5265,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,PAKUR,18,2,2.086970014352768
5266,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,PAKUR,18,1,2.086970014352768
5267,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,PAKUR,18,3,2.086970014352768
5268,DAV PUBLIC SCHOOL,25779,538,JHARKHAND,PAKUR,18,2,2.086970014352768
5269,DAV PUBLIC SCHOOL,25779,538,KARNATAKA,BALLARI,33,1,2.086970014352768
5270,DAV PUBLIC SCHOOL,25779,538,KARNATAKA,BALLARI,33,3,2.086970014352768
5271,DAV PUBLIC SCHOOL,25779,538,KARNATAKA,BALLARI,33,1,2.086970014352768
5272,DAV PUBLIC SCHOOL,25779,538,KARNATAKA,BALLARI,33,1,2.086970014352768
5273,DAV PUBLIC SCHOOL,25779,538,KARNATAKA,BALLARI,33,2,2.086970014352768
5274,DAV PUBLIC SCHOOL,25779,538,KARNATAKA,BALLARI,33,2,2.086970014352768
5275,DAV PUBLIC SCHOOL,25779,538,KARNATAKA,BALLARI,33,1,2.086970014352768
5276,DAV PUBLIC SCHOOL,25779,538,KARNATAKA,BALLARI,33,3,2.086970014352768
5277,DAV PUBLIC SCHOOL,25779,538,KARNATAKA,BALLARI,33,2,2.086970014352768
5278,DAV PUBLIC SCHOOL,25779,538,MADHYA PRADESH,SINGRAULI,16,1,2.086970014352768
5279,DAV PUBLIC SCHOOL,25779,538,MADHYA PRADESH,SINGRAULI,16,3,2.086970014352768
5280,DAV PUBLIC SCHOOL,25779,538,MADHYA PRADESH,SINGRAULI,16,1,2.086970014352768
5281,DAV PUBLIC SCHOOL,25779,538,MADHYA PRADESH,SINGRAULI,16,1,2.086970014352768
5282,DAV PUBLIC SCHOOL,25779,538,MADHYA PRADESH,SINGRAULI,16,2,2.086970014352768
5283,DAV PUBLIC SCHOOL,25779,538,MADHYA PRADESH,SINGRAULI,16,2,2.086970014352768
5284,DAV PUBLIC SCHOOL,25779,538,MADHYA PRADESH,SINGRAULI,16,1,2.086970014352768
5285,DAV PUBLIC SCHOOL,25779,538,MADHYA PRADESH,SINGRAULI,16,3,2.086970014352768
5286,DAV PUBLIC SCHOOL,25779,538,MADHYA PRADESH,SINGRAULI,16,2,2.086970014352768
5287,DAV PUBLIC SCHOOL,25779,538,ODISHA,BALASORE (BALESWAR),32,1,2.086970014352768
5288,DAV PUBLIC SCHOOL,25779,538,ODISHA,BALASORE (BALESWAR),32,3,2.086970014352768
5289,DAV PUBLIC SCHOOL,25779,538,ODISHA,BALASORE (BALESWAR),32,1,2.086970014352768
5290,DAV PUBLIC SCHOOL,25779,538,ODISHA,BALASORE (BALESWAR),32,1,2.086970014352768
5291,DAV PUBLIC SCHOOL,25779,538,ODISHA,BALASORE (BALESWAR),32,2,2.086970014352768
5292,DAV PUBLIC SCHOOL,25779,538,ODISHA,BALASORE (BALESWAR),32,2,2.086970014352768
5293,DAV PUBLIC SCHOOL,25779,538,ODISHA,BALASORE (BALESWAR),32,1,2.086970014352768
5294,DAV PUBLIC SCHOOL,25779,538,ODISHA,BALASORE (BALESWAR),32,3,2.086970014352768
5295,DAV PUBLIC SCHOOL,25779,538,ODISHA,BALASORE (BALESWAR),32,2,2.086970014352768
5296,DAV PUBLIC SCHOOL,25779,538,ODISHA,BHUBANESWAR,87,1,2.086970014352768
5297,DAV PUBLIC SCHOOL,25779,538,ODISHA,BHUBANESWAR,87,3,2.086970014352768
5298,DAV PUBLIC SCHOOL,25779,538,ODISHA,BHUBANESWAR,87,1,2.086970014352768
5299,DAV PUBLIC SCHOOL,25779,538,ODISHA,BHUBANESWAR,87,1,2.086970014352768
5300,DAV PUBLIC SCHOOL,25779,538,ODISHA,BHUBANESWAR,87,2,2.086970014352768
5301,DAV PUBLIC SCHOOL,25779,538,ODISHA,BHUBANESWAR,87,2,2.086970014352768
5302,DAV PUBLIC SCHOOL,25779,538,ODISHA,BHUBANESWAR,87,1,2.086970014352768
5303,DAV PUBLIC SCHOOL,25779,538,ODISHA,BHUBANESWAR,87,3,2.086970014352768
5304,DAV PUBLIC SCHOOL,25779,538,ODISHA,BHUBANESWAR,87,2,2.086970014352768
5305,DAV PUBLIC SCHOOL,25779,538,ODISHA,CUTTACK,119,1,2.086970014352768
5306,DAV PUBLIC SCHOOL,25779,538,ODISHA,CUTTACK,119,3,2.086970014352768
5307,DAV PUBLIC SCHOOL,25779,538,ODISHA,CUTTACK,119,1,2.086970014352768
5308,DAV PUBLIC SCHOOL,25779,538,ODISHA,CUTTACK,119,1,2.086970014352768
5309,DAV PUBLIC SCHOOL,25779,538,ODISHA,CUTTACK,119,2,2.086970014352768
5310,DAV PUBLIC SCHOOL,25779,538,ODISHA,CUTTACK,119,2,2.086970014352768
5311,DAV PUBLIC SCHOOL,25779,538,ODISHA,CUTTACK,119,1,2.086970014352768
5312,DAV PUBLIC SCHOOL,25779,538,ODISHA,CUTTACK,119,3,2.086970014352768
5313,DAV PUBLIC SCHOOL,25779,538,ODISHA,CUTTACK,119,2,2.086970014352768
5314,DAV PUBLIC SCHOOL,25779,538,ODISHA,JAGATSINGHPUR,38,1,2.086970014352768
5315,DAV PUBLIC SCHOOL,25779,538,ODISHA,JAGATSINGHPUR,38,3,2.086970014352768
5316,DAV PUBLIC SCHOOL,25779,538,ODISHA,JAGATSINGHPUR,38,1,2.086970014352768
5317,DAV PUBLIC SCHOOL,25779,538,ODISHA,JAGATSINGHPUR,38,1,2.086970014352768
5318,DAV PUBLIC SCHOOL,25779,538,ODISHA,JAGATSINGHPUR,38,2,2.086970014352768
5319,DAV PUBLIC SCHOOL,25779,538,ODISHA,JAGATSINGHPUR,38,2,2.086970014352768
5320,DAV PUBLIC SCHOOL,25779,538,ODISHA,JAGATSINGHPUR,38,1,2.086970014352768
5321,DAV PUBLIC SCHOOL,25779,538,ODISHA,JAGATSINGHPUR,38,3,2.086970014352768
5322,DAV PUBLIC SCHOOL,25779,538,ODISHA,JAGATSINGHPUR,38,2,2.086970014352768
5323,DAV PUBLIC SCHOOL,25779,538,ODISHA,SAMBALPUR,17,1,2.086970014352768
5324,DAV PUBLIC SCHOOL,25779,538,ODISHA,SAMBALPUR,17,3,2.086970014352768
5325,DAV PUBLIC SCHOOL,25779,538,ODISHA,SAMBALPUR,17,1,2.086970014352768
5326,DAV PUBLIC SCHOOL,25779,538,ODISHA,SAMBALPUR,17,1,2.086970014352768
5327,DAV PUBLIC SCHOOL,25779,538,ODISHA,SAMBALPUR,17,2,2.086970014352768
5328,DAV PUBLIC SCHOOL,25779,538,ODISHA,SAMBALPUR,17,2,2.086970014352768
5329,DAV PUBLIC SCHOOL,25779,538,ODISHA,SAMBALPUR,17,1,2.086970014352768
5330,DAV PUBLIC SCHOOL,25779,538,ODISHA,SAMBALPUR,17,3,2.086970014352768
5331,DAV PUBLIC SCHOOL,25779,538,ODISHA,SAMBALPUR,17,2,2.086970014352768
5332,DAV PUBLIC SCHOOL,25779,538,PUNJAB,PATIALA/FATEHGARH SAHIB,43,1,2.086970014352768
5333,DAV PUBLIC SCHOOL,25779,538,PUNJAB,PATIALA/FATEHGARH SAHIB,43,3,2.086970014352768
5334,DAV PUBLIC SCHOOL,25779,538,PUNJAB,PATIALA/FATEHGARH SAHIB,43,1,2.086970014352768
5335,DAV PUBLIC SCHOOL,25779,538,PUNJAB,PATIALA/FATEHGARH SAHIB,43,1,2.086970014352768
5336,DAV PUBLIC SCHOOL,25779,538,PUNJAB,PATIALA/FATEHGARH SAHIB,43,2,2.086970014352768
5337,DAV PUBLIC SCHOOL,25779,538,PUNJAB,PATIALA/FATEHGARH SAHIB,43,2,2.086970014352768
5338,DAV PUBLIC SCHOOL,25779,538,PUNJAB,PATIALA/FATEHGARH SAHIB,43,1,2.086970014352768
5339,DAV PUBLIC SCHOOL,25779,538,PUNJAB,PATIALA/FATEHGARH SAHIB,43,3,2.086970014352768
5340,DAV PUBLIC SCHOOL,25779,538,PUNJAB,PATIALA/FATEHGARH SAHIB,43,2,2.086970014352768
5341,DAV PUBLIC SCHOOL,25779,538,PUNJAB,SRI MUKTSAR SAHIB,47,1,2.086970014352768
5342,DAV PUBLIC SCHOOL,25779,538,PUNJAB,SRI MUKTSAR SAHIB,47,3,2.086970014352768
5343,DAV PUBLIC SCHOOL,25779,538,PUNJAB,SRI MUKTSAR SAHIB,47,1,2.086970014352768
5344,DAV PUBLIC SCHOOL,25779,538,PUNJAB,SRI MUKTSAR SAHIB,47,1,2.086970014352768
5345,DAV PUBLIC SCHOOL,25779,538,PUNJAB,SRI MUKTSAR SAHIB,47,2,2.086970014352768
5346,DAV PUBLIC SCHOOL,25779,538,PUNJAB,SRI MUKTSAR SAHIB,47,2,2.086970014352768
5347,DAV PUBLIC SCHOOL,25779,538,PUNJAB,SRI MUKTSAR SAHIB,47,1,2.086970014352768
5348,DAV PUBLIC SCHOOL,25779,538,PUNJAB,SRI MUKTSAR SAHIB,47,3,2.086970014352768
5349,DAV PUBLIC SCHOOL,25779,538,PUNJAB,SRI MUKTSAR SAHIB,47,2,2.086970014352768
5350,DAV PUBLIC SCHOOL,25779,538,RAJASTHAN,KOTA,119,1,2.086970014352768
5351,DAV PUBLIC SCHOOL,25779,538,RAJASTHAN,KOTA,119,3,2.086970014352768
5352,DAV PUBLIC SCHOOL,25779,538,RAJASTHAN,KOTA,119,1,2.086970014352768
5353,DAV PUBLIC SCHOOL,25779,538,RAJASTHAN,KOTA,119,1,2.086970014352768
5354,DAV PUBLIC SCHOOL,25779,538,RAJASTHAN,KOTA,119,2,2.086970014352768
5355,DAV PUBLIC SCHOOL,25779,538,RAJASTHAN,KOTA,119,2,2.086970014352768
5356,DAV PUBLIC SCHOOL,25779,538,RAJASTHAN,KOTA,119,1,2.086970014352768
5357,DAV PUBLIC SCHOOL,25779,538,RAJASTHAN,KOTA,119,3,2.086970014352768
5358,DAV PUBLIC SCHOOL,25779,538,RAJASTHAN,KOTA,119,2,2.086970014352768
5359,DAV PUBLIC SCHOOL,25779,538,UTTARAKHAND,DEHRADUN,47,1,2.086970014352768
5360,DAV PUBLIC SCHOOL,25779,538,UTTARAKHAND,DEHRADUN,47,3,2.086970014352768
5361,DAV PUBLIC SCHOOL,25779,538,UTTARAKHAND,DEHRADUN,47,1,2.086970014352768
5362,DAV PUBLIC SCHOOL,25779,538,UTTARAKHAND,DEHRADUN,47,1,2.086970014352768
5363,DAV PUBLIC SCHOOL,25779,538,UTTARAKHAND,DEHRADUN,47,2,2.086970014352768
5364,DAV PUBLIC SCHOOL,25779,538,UTTARAKHAND,DEHRADUN,47,2,2.086970014352768
5365,DAV PUBLIC SCHOOL,25779,538,UTTARAKHAND,DEHRADUN,47,1,2.086970014352768
5366,DAV PUBLIC SCHOOL,25779,538,UTTARAKHAND,DEHRADUN,47,3,2.086970014352768
5367,DAV PUBLIC SCHOOL,25779,538,UTTARAKHAND,DEHRADUN,47,2,2.086970014352768
5368,DAV PUBLIC SCHOOL,25779,538,WEST BENGAL,BANKURA,28,1,2.086970014352768
5369,DAV PUBLIC SCHOOL,25779,538,WEST BENGAL,BANKURA,28,3,2.086970014352768
5370,DAV PUBLIC SCHOOL,25779,538,WEST BENGAL,BANKURA,28,1,2.086970014352768
5371,DAV PUBLIC SCHOOL,25779,538,WEST BENGAL,BANKURA,28,1,2.086970014352768
5372,DAV PUBLIC SCHOOL,25779,538,WEST BENGAL,BANKURA,28,2,2.086970014352768
5373,DAV PUBLIC SCHOOL,25779,538,WEST BENGAL,BANKURA,28,2,2.086970014352768
5374,DAV PUBLIC SCHOOL,25779,538,WEST BENGAL,BANKURA,28,1,2.086970014352768
5375,DAV PUBLIC SCHOOL,25779,538,WEST BENGAL,BANKURA,28,3,2.086970014352768
5376,DAV PUBLIC SCHOOL,25779,538,WEST BENGAL,BANKURA,28,2,2.086970014352768
5377,DAV PUBLIC SCHOOL,25779,872,BIHAR,ARRAH,26,1,3.3825982388766054
5378,DAV PUBLIC SCHOOL,25779,872,BIHAR,ARRAH,26,3,3.3825982388766054
5379,DAV PUBLIC SCHOOL,25779,872,BIHAR,ARRAH,26,1,3.3825982388766054
5380,DAV PUBLIC SCHOOL,25779,872,BIHAR,ARRAH,26,1,3.3825982388766054
5381,DAV PUBLIC SCHOOL,25779,872,BIHAR,ARRAH,26,2,3.3825982388766054
5382,DAV PUBLIC SCHOOL,25779,872,BIHAR,ARRAH,26,2,3.3825982388766054
5383,DAV PUBLIC SCHOOL,25779,872,BIHAR,ARRAH,26,1,3.3825982388766054
5384,DAV PUBLIC SCHOOL,25779,872,BIHAR,ARRAH,26,3,3.3825982388766054
5385,DAV PUBLIC SCHOOL,25779,872,BIHAR,ARRAH,26,2,3.3825982388766054
5386,DAV PUBLIC SCHOOL,25779,872,BIHAR,AURANGABAD (BR),45,1,3.3825982388766054
