,center_name,total_candidates,high_scorers,state_y,city_y,high_scorers_500,high_scorers_700,Success rate
124,ALPHA BCI MEMORIAL ACADEMY,353,219,MANIPUR,IMPHAL,20,0,62.03966005665722
125,ALPHA ENGLISH HIGHER SECONDARY SCHOOL,62,21,,,0,0,33.87096774193548
126,ALPHA INTERNATIONAL ACADEMY,769,512,RAJASTHAN,JAIPUR,99,1,66.57997399219767
128,ALPHONSA SENIOR SECONDARY SCHOOL,303,136,MAHARASHTRA,WARDHA,15,0,44.884488448844884
129,ALPINE INSTITUTE OF TECHNOLOGY,796,404,MADHYA PRADESH,UJJAIN,45,0,50.753768844221106
130,ALPINE PUBLIC SCHOOL,954,377,KARNATAKA,BENGALURU- URBAN,75,1,39.517819706498955
131,ALPINE PUBLIC SCHOOL,954,377,UTTAR PRADESH,SAHARANPUR,31,1,39.517819706498955
132,ALPINE PUBLIC SCHOOL,954,224,KARNATAKA,BENGALURU- URBAN,75,1,23.48008385744235
133,ALPINE PUBLIC SCHOOL,954,224,UTTAR PRADESH,SAHARANPUR,31,1,23.48008385744235
135,ALWAR PUBLIC SCHOOL,283,185,RAJASTHAN,ALWAR,28,0,65.37102473498233
136,AMAR PUB SCH DARPAN COLONY TATEPUR GWALIOR M P,223,110,MADHYA PRADESH,GWALIOR,7,0,49.327354260089685
137,AMAR SINGH COLLEGE,466,269,JAMMU AND KASHMIR,SRINAGAR (J AND K),31,0,57.72532188841202
141,AMBEDKAR INSTITUTE OF HIGHER EDUCATION MANAGEMENT COLLEGE,696,407,BIHAR,PATNA,79,0,58.47701149425287
142,AMBER INTERNATIONAL SCHOOL,769,448,MAHARASHTRA,THANE,62,0,58.25747724317295
143,AMBIKA PUBLIC SCHOOL,349,154,BIHAR,AURANGABAD (BR),21,0,44.126074498567334
144,AMBIKA SCHOOL OF EDUCATION,496,298,UTTAR PRADESH,BARABANKI,37,0,60.08064516129033
147,AMITY INTERNATIONAL SCH VASUNDHARA GHAZIABAD UP,566,337,UTTAR PRADESH,GHAZIABAD,45,0,59.54063604240283
